Local time,Ask,Bid,AskVolume,BidVolume
27.07.2020 05:00:00.265 GMT+0700,1903.742,1901.988,370,370
27.07.2020 05:00:00.416 GMT+0700,1903.472,1902.348,75,370
27.07.2020 05:00:00.466 GMT+0700,1903.602,1902.348,75,370
27.07.2020 05:00:00.516 GMT+0700,1903.482,1902.348,75,370
27.07.2020 05:00:00.567 GMT+0700,1903.542,1902.348,75,370
27.07.2020 05:00:00.668 GMT+0700,1903.522,1902.348,75,370
27.07.2020 05:00:00.804 GMT+0700,1903.582,1902.088,75,370
27.07.2020 05:00:00.855 GMT+0700,1903.372,1902.088,370,370
27.07.2020 05:00:01.006 GMT+0700,1903.372,1901.978,370,370
27.07.2020 05:00:01.056 GMT+0700,1903.272,1901.978,370,370
27.07.2020 05:00:01.422 GMT+0700,1903.272,1901.798,370,370
27.07.2020 05:00:01.473 GMT+0700,1902.772,1901.528,370,370
27.07.2020 05:00:01.523 GMT+0700,1902.672,1901.368,370,370
27.07.2020 05:00:01.840 GMT+0700,1902.562,1901.048,75,370
27.07.2020 05:00:01.890 GMT+0700,1902.372,1901.048,370,370
27.07.2020 05:00:02.048 GMT+0700,1902.482,1901.048,75,370
27.07.2020 05:00:02.099 GMT+0700,1902.272,1901.048,370,370
27.07.2020 05:00:02.150 GMT+0700,1902.272,1900.968,370,370
27.07.2020 05:00:02.553 GMT+0700,1902.612,1901.248,75,370
27.07.2020 05:00:02.604 GMT+0700,1902.472,1901.248,370,370
27.07.2020 05:00:03.144 GMT+0700,1902.402,1901.248,370,370
27.07.2020 05:00:03.245 GMT+0700,1902.672,1901.448,370,370
27.07.2020 05:00:03.296 GMT+0700,1902.632,1901.448,370,370
27.07.2020 05:00:03.452 GMT+0700,1902.662,1901.528,370,370
27.07.2020 05:00:03.627 GMT+0700,1902.672,1901.528,370,370
27.07.2020 05:00:03.678 GMT+0700,1902.642,1901.448,370,370
27.07.2020 05:00:03.728 GMT+0700,1902.642,1901.478,370,75
27.07.2020 05:00:03.845 GMT+0700,1902.572,1901.478,370,75
27.07.2020 05:00:03.896 GMT+0700,1902.572,1901.448,370,75
27.07.2020 05:00:03.996 GMT+0700,1902.242,1901.468,370,75
27.07.2020 05:00:04.097 GMT+0700,1902.192,1901.448,370,75
27.07.2020 05:00:04.248 GMT+0700,1902.102,1901.338,370,75
27.07.2020 05:00:04.348 GMT+0700,1902.102,1901.288,370,450
27.07.2020 05:00:04.398 GMT+0700,1902.102,1901.308,370,75
27.07.2020 05:00:04.564 GMT+0700,1902.102,1901.178,370,370
27.07.2020 05:00:04.614 GMT+0700,1902.262,1901.378,370,370
27.07.2020 05:00:04.715 GMT+0700,1902.262,1901.478,370,75
27.07.2020 05:00:04.969 GMT+0700,1902.212,1901.478,370,75
27.07.2020 05:00:05.019 GMT+0700,1902.262,1901.448,370,75
27.07.2020 05:00:05.069 GMT+0700,1902.212,1901.478,370,75
27.07.2020 05:00:05.120 GMT+0700,1902.602,1901.428,370,370
